New Cross Gate,NXG,"['London, UK', 8238.0, 901.0]"
New Eltham,NEH,"['London, UK', 17488.0, 1862.0]"
New Malden,NEM,"['London, UK', 19167.0, 1920.0]"
New Southgate,NSG,"['London, UK', 14894.0, 1758.0]"
Norbiton,NBT,"['London, UK', 17083.0, 1891.0]"
North Dulwich,NDL,"['London, UK', 8885.0, 1084.0]"
North Sheen,NSH,"['London, UK', 13657.0, 1424.0]"
North Wembley,NWB,"['London, UK', 20469.0, 1885.0]"
Northfleet,NFL,"['London, UK', 38640.0, 2678.0]"
Northolt Park,NLT,"['London, UK', 23555.0, 1928.0]"
Northumberland Park,NUM,"['London, UK', 14420.0, 1745.0]"
Norwood Junction,NWD,"['London, UK', 15264.0, 1742.0]"
Nunhead,NHD,"['London, UK', 9081.0, 1101.0]"
Nutfield,NUF,"['London, UK', 34500.0, 3340.0]"
Oakleigh Park,OKL,"['London, UK', 15897.0, 1962.0]"
Ockendon,OCK,"['London, UK', 34260.0, 2331.0]"
Old Street,OLD,"['London, UK', 3893.0, 543.0]"
Orpington,ORP,"['London, UK', 25102.0, 2609.0]"
Otford,OTF,"['London, UK', 40412.0, 3221.0]"
Outwood,OUT,"['London, UK', 40488.0, 3776.0]"
Oxshott,OXS,"['London, UK', 30839.0, 2504.0]"
Oxted,OXT,"['London, UK', 36199.0, 3373.0]"
Palmers Green,PAL,"['London, UK', 15550.0, 1857.0]"
Park Street,PKT,"['London, UK', 37865.0, 2626.0]"
Peckham Rye,PMR,"['London, UK', 9083.0, 1068.0]"
Penge East,PNE,"['London, UK', 14317.0, 1676.0]"
Penge West,PNW,"['London, UK', 13918.0, 1696.0]"
Petts Wood,PET,"['London, UK', 23459.0, 2446.0]"
Plumstead,PLU,"['London, UK', 18359.0, 2011.0]"
Ponders End,PON,"['London, UK', 20089.0, 2204.0]"
Potters Bar,PBR,"['London, UK', 29499.0, 2573.0]"
Purfleet,PFL,"['London, UK', 30105.0, 2183.0]"
Purley,PUR,"['London, UK', 21089.0, 2225.0]"
Purley Oaks,PUO,"['London, UK', 20667.0, 2291.0]"
Putney,PUT,"['London, UK', 8802.0, 1116.0]"
Queens Park (London),QPW,"['London, UK', 8140.0, 1029.0]"
Queens Road (Peckham),QRP,"['London, UK', 7745.0, 857.0]"
Queenstown Road (Battersea),QRB,"['London, UK', 5628.0, 698.0]"
Radlett,RDT,"['London, UK', 28088.0, 2697.0]"
Rainham (Essex),RNM,"['London, UK', 26091.0, 2044.0]"
Ravensbourne,RVB,"['London, UK', 13267.0, 1615.0]"
Raynes Park,RAY,"['London, UK', 18589.0, 1862.0]"
Rectory Road,REC,"['London, UK', 8880.0, 1178.0]"
Redbridge,RDB,"['London, UK', 19412.0, 2116.0]"
Redhill,RDH,"['London, UK', 33914.0, 3263.0]"
Reedham (Surrey),RHM,"['London, UK', 22444.0, 2369.0]"
Reigate,REI,"['London, UK', 36452.0, 3484.0]"
Richmond (London),RMD,"['London, UK', 0.0, 0.0]"
Rickmansworth,RIC,"['London, UK', 44466.0, 2795.0]"
Riddlesdown,RDD,"['London, UK', 22924.0, 2478.0]"
Roche,ROC,"['London, UK', 45491.0, 3124.0]"
Romford,RMF,"['London, UK', 26534.0, 2391.0]"
Rotherhithe,ROE,"['London, UK', 6939.0, 865.0]"
Rye House,RYH,"['London, UK', 35912.0, 3368.0]"
Salfords (Surrey),SAF,"['London, UK', 37845.0, 3635.0]"
Sanderstead,SNR,"['London, UK', 22558.0, 2371.0]"
Seer Green & Jordans,SRG,"['London, UK', 44112.0, 2762.0]"
Selhurst,SRS,"['London, UK', 15869.0, 1730.0]"
Seven Kings,SVK,"['London, UK', 22407.0, 1944.0]"
Sevenoaks,SEV,"['London, UK', 45856.0, 3318.0]"
Shenfield,SNF,"['London, UK', 48736.0, 3110.0]"
Shepherd's Bush,SPB,"['London, UK', 8252.0, 989.0]"
Shepperton,SHP,"['London, UK', 29484.0, 2728.0]"
Shoreditch High Street,SDC,"['London, UK', 4533.0, 660.0]"
Shoreham (Kent),SEH,"['London, UK', 37617.0, 3023.0]"
Shortlands,SRT,"['London, UK', 19840.0, 2155.0]"
Sidcup,SID,"['London, UK', 21445.0, 2139.0]"
Slade Green,SGR,"['London, UK', 28751.0, 2499.0]"
Slough,SLO,"['London, UK', 38852.0, 2502.0]"
Sole Street,SOR,"['London, UK', 44581.0, 2930.0]"
South Acton,SAT,"['London, UK', 12179.0, 1377.0]"
South Bermondsey,SBM,"['London, UK', 7002.0, 804.0]"
South Croydon,SCY,"['London, UK', 19386.0, 2094.0]"
South Greenford,SGN,"['London, UK', 19958.0, 1610.0]"
South Hampstead,SOH,"['London, UK', 7904.0, 1024.0]"
South Kenton,SOK,"['London, UK', 17129.0, 2046.0]"
South Merton,SMO,"['London, UK', 15913.0, 1793.0]"
South Ruislip,SRU,"['London, UK', 24582.0, 1916.0]"
South Tottenham,STO,"['London, UK', 11188.0, 1348.0]"
Southall,STL,"['London, UK', 23808.0, 2158.0]"
Southbury,SBU,"['London, UK', 19798.0, 2094.0]"
St Albans,SAC,"['London, UK', 39860.0, 2900.0]"
St Albans Abbey,SAA,"['London, UK', 39008.0, 2799.0]"
St Helier (Surrey),SIH,"['London, UK', 17049.0, 1887.0]"
St James Street (Walthamstow),SJS,"['London, UK', 13014.0, 1644.0]"
St Johns (London),SAJ,"['London, UK', 9953.0, 1083.0]"
St Margarets (Herts),SMT,"['London, UK', 36679.0, 3177.0]"
St Margarets (London),SMG,"['London, UK', 1309.0, 233.0]"
St Mary Cray,SMY,"['London, UK', 24828.0, 2385.0]"
Staines,SNS,"['London, UK', 36603.0, 2549.0]"
Stamford Hill,SMH,"['London, UK', 9836.0, 1212.0]"
Stanford-le-Hope,SFO,"['London, UK', 42846.0, 2698.0]"
Stoke Newington,SKW,"['London, UK', 7867.0, 1082.0]"
Stone Crossing,SCG,"['London, UK', 35048.0, 2602.0]"
Stonebridge Park,SBP,"['London, UK', 14289.0, 1624.0]"
Stratford International,SFA,"['London, UK', 11713.0, 1392.0]"
Stratford (London),SRA,"['London, UK', 11816.0, 1292.0]"
Strawberry Hill,STW,"['London, UK', 19379.0, 2088.0]"
Streatham Common,SRC,"['London, UK', 11773.0, 1358.0]"
Streatham Hill,SRH,"['London, UK', 8405.0, 969.0]"
Streatham(Greater London),STE,"['London, UK', 11242.0, 1301.0]"
Strood (Kent),SOO,"['London, UK', 48311.0, 3008.0]"
Sudbury & Harrow Road,SUD,"['London, UK', 18634.0, 1689.0]"
Sudbury Hill Harrow,SDH,"['London, UK', 21429.0, 1787.0]"
Sunbury,SUU,"['London, UK', 26090.0, 2389.0]"
Sundridge Park,SUP,"['London, UK', 18262.0, 2037.0]"
Sunningdale,SNG,"['London, UK', 42994.0, 2914.0]"
Sunnymeads,SNY,"['London, UK', 35413.0, 2491.0]"
Surbiton,SUR,"['London, UK', 19252.0, 2201.0]"
Sutton Common,SUC,"['London, UK', 18819.0, 2148.0]"
Sutton (Surrey),SUO,"['London, UK', 19995.0, 2287.0]"
Swanley,SAY,"['London, UK', 26759.0, 2377.0]"
Swanscombe,SWM,"['London, UK', 36897.0, 2730.0]"
Sydenham Hill,SYH,"['London, UK', 11689.0, 1395.0]"
Sydenham (London),SYD,"['London, UK', 12842.0, 1564.0]"
Syon Lane,SYL,"['London, UK', 15620.0, 1529.0]"
Tadworth,TAD,"['London, UK', 29928.0, 2992.0]"
Taplow,TAP,"['London, UK', 43273.0, 2732.0]"
Tattenham Corner,TAT,"['London, UK', 30068.0, 2778.0]"
Teddington,TED,"['London, UK', 20531.0, 2177.0]"
Thames Ditton,THD,"['London, UK', 22969.0, 2576.0]"
Theobalds Grove,TEO,"['London, UK', 25357.0, 2658.0]"
Thornton Heath,TTH,"['London, UK', 14943.0, 1640.0]"
Three Bridges,TBD,"['London, UK', 49954.0, 3786.0]"
Tilbury Town,TIL,"['London, UK', 42798.0, 2701.0]"
Tolworth,TOL,"['London, UK', 21585.0, 2031.0]"
