Sydenham Hill,SYH,"London, UK","driving",11689.0,1395.0
Sydenham (London),SYD,"London, UK","driving",12842.0,1564.0
Syon Lane,SYL,"London, UK","driving",15620.0,1529.0
Tadworth,TAD,"London, UK","driving",29928.0,2992.0
Taplow,TAP,"London, UK","driving",43273.0,2732.0
Tattenham Corner,TAT,"London, UK","driving",30068.0,2765.0
Teddington,TED,"London, UK","driving",20531.0,2177.0
Thames Ditton,THD,"London, UK","driving",22969.0,2563.0
Theobalds Grove,TEO,"London, UK","driving",25357.0,2658.0
Thornton Heath,TTH,"London, UK","driving",14943.0,1640.0
Three Bridges,TBD,"London, UK","driving",49954.0,3786.0
Tilbury Town,TIL,"London, UK","driving",42798.0,2701.0
Tolworth,TOL,"London, UK","driving",21585.0,2018.0
Tooting,TOO,"London, UK","driving",12070.0,1388.0
Tottenham Hale,TOM,"London, UK","driving",12729.0,1540.0
Tulse Hill,TUH,"London, UK","driving",8964.0,1101.0
Turkey Street,TUR,"London, UK","driving",22485.0,2327.0
Twickenham,TWI,"London, UK","driving",18426.0,1981.0
Upminster,UPM,"London, UK","driving",36237.0,2592.0
Upper Halliford,UPH,"London, UK","driving",27384.0,2510.0
Upper Holloway,UHL,"London, UK","driving",7410.0,970.0
Upper Warlingham,UWL,"London, UK","driving",25755.0,2654.0
Vauxhall,VXH,"London, UK","driving",214.0,61.0
Virginia Water,VIR,"London, UK","driving",41309.0,2880.0
Waddon,WDO,"London, UK","driving",17922.0,1907.0
Wallington,WLT,"London, UK","driving",19201.0,2130.0
Waltham Cross,WLC,"London, UK","driving",24609.0,2571.0
Walthamstow Central,WHC,"London, UK","driving",13680.0,1726.0
Walthamstow Queen's Road,WMW,"London, UK","driving",13460.0,1722.0
Walton-on-Thames,WAL,"London, UK","driving",27236.0,2832.0
Wandsworth Common,WSW,"London, UK","driving",9389.0,1114.0
Wandsworth Road,WWR,"London, UK","driving",5257.0,640.0
Wandsworth Town,WNT,"London, UK","driving",8748.0,1031.0
Wanstead Park,WNP,"London, UK","driving",13510.0,1509.0
Wapping,WPE,"London, UK","driving",4866.0,596.0
Ware (Herts),WAR,"London, UK","driving",38634.0,3388.0
Watford High Street,WFH,"London, UK","driving",33012.0,2497.0
Watford Junction,WFJ,"London, UK","driving",32393.0,2517.0
Watford North,WFN,"London, UK","driving",31259.0,2423.0
Watton-at-Stone,WAS,"London, UK","driving",46432.0,3610.0
Welham Green,WMG,"London, UK","driving",32525.0,2691.0
Welling,WLI,"London, UK","driving",19134.0,2012.0
Welwyn Garden City,WGC,"London, UK","driving",42035.0,3057.0
Welwyn North,WLW,"London, UK","driving",44962.0,3036.0
Wembley Central,WMB,"London, UK","driving",18213.0,1697.0
Wembley Stadium,WCX,"London, UK","driving",15917.0,1797.0
West Brompton,WBP,"London, UK","driving",5937.0,844.0
West Byfleet,WBY,"London, UK","driving",43169.0,3046.0
West Croydon,WCY,"London, UK","driving",16584.0,1874.0
West Drayton,WDT,"London, UK","driving",25984.0,1995.0
West Dulwich,WDU,"London, UK","driving",10428.0,1158.0
West Ealing,WEA,"London, UK","driving",19897.0,1689.0
West Ham,WEH,"London, UK","driving",12287.0,1401.0
West Hampstead,WHD,"London, UK","driving",9114.0,1058.0
West Hampstead Thameslink,WHP,"London, UK","driving",9319.0,1096.0
West Horndon,WHR,"London, UK","driving",44966.0,2738.0
West Norwood,WNW,"London, UK","driving",10357.0,1200.0
West Ruislip,WRU,"London, UK","driving",28499.0,2067.0
West Sutton,WSU,"London, UK","driving",19935.0,2257.0
West Wickham,WWI,"London, UK","driving",19518.0,2218.0
Westcombe Park,WCB,"London, UK","driving",13897.0,1532.0
